Displacement,Label
0,Damaged
3.40E-06,Damaged
1.40E-05,Damaged
2.87E-05,Damaged
4.59E-05,Damaged
6.77E-05,Damaged
9.26E-05,Damaged
0.000122996,Damaged
0.000156995,Damaged
0.000194627,Damaged
0.000237764,Damaged
0.000287338,Damaged
0.000342437,Damaged
0.000404951,Damaged
0.000476244,Damaged
0.000555205,Damaged
0.000639237,Damaged
0.000728279,Damaged
0.000821637,Damaged
0.000918685,Damaged
0.001020122,Damaged
0.00112928,Damaged
0.001246735,Damaged
0.001371067,Damaged
0.001502795,Damaged
0.001641703,Damaged
0.001784746,Damaged
0.001934099,Damaged
0.002090998,Damaged
0.002251333,Damaged
0.00241503,Damaged
0.002585073,Damaged
0.002761832,Damaged
0.002945055,Damaged
0.003134192,Damaged
0.003327758,Damaged
0.003527829,Damaged
0.003734557,Damaged
0.003945493,Damaged
0.004160637,Damaged
0.004378879,Damaged
0.004600079,Damaged
0.004825204,Damaged
0.005055517,Damaged
0.005292281,Damaged
0.005535826,Damaged
0.005785838,Damaged
0.006041358,Damaged
0.006300779,Damaged
0.006564728,Damaged
0.006836035,Damaged
0.007116187,Damaged
0.007405199,Damaged
0.007700472,Damaged
0.008000788,Damaged
0.008308087,Damaged
0.008623088,Damaged
0.008944306,Damaged
0.009271102,Damaged
0.009605037,Damaged
0.009945773,Damaged
0.01029085,Damaged
0.010638118,Damaged
0.010987565,Damaged
0.011341792,Damaged
0.011702219,Damaged
0.012067848,Damaged
0.012437685,Damaged
0.012810759,Damaged
0.013186413,Damaged
0.013565802,Damaged
0.013947896,Damaged
0.014331957,Damaged
0.014718791,Damaged
0.01511105,Damaged
0.015508153,Damaged
0.015908081,Damaged
0.01630883,Damaged
0.016712041,Damaged
0.017119451,Damaged
0.017532385,Damaged
0.017951786,Damaged
0.018378213,Damaged
0.01881111,Damaged
0.019249095,Damaged
0.019693141,Damaged
0.020143966,Damaged
0.02060189,Damaged
0.021066835,Damaged
0.021537168,Damaged
0.02201011,Damaged
0.022484093,Damaged
0.02295838,Damaged
0.023433062,Damaged
0.023909059,Damaged
0.024388126,Damaged
0.024869975,Damaged
0.025353282,Damaged
0.025837782,Damaged
0.026324281,Damaged
0.026814589,Damaged
0.027309306,Damaged
0.027808735,Damaged
0.028313421,Damaged
0.028823662,Damaged
0.029339511,Damaged
0.029860773,Damaged
0.030386982,Damaged
0.03091482,Damaged
0.031443161,Damaged
0.031973092,Damaged
0.032505555,Damaged
0.033041344,Damaged
0.033581106,Damaged
0.034125342,Damaged
0.034674403,Damaged
0.035228497,Damaged
0.03578762,Damaged
0.03634894,Damaged
0.03691399,Damaged
0.03748541,Damaged
0.038063201,Damaged
0.038644811,Damaged
0.039230735,Damaged
0.039822763,Damaged
0.040420197,Damaged
0.041022334,Damaged
0.041630639,Damaged
0.042247028,Damaged
0.042870865,Damaged
0.04350221,Damaged
0.044142125,Damaged
0.044791187,Damaged
0.045449481,Damaged
0.046115371,Damaged
0.046786156,Damaged
0.047460679,Damaged
0.048138209,Damaged
0.048818426,Damaged
0.049501789,Damaged
0.050188688,Damaged
0.050878458,Damaged
0.051570937,Damaged
0.052266506,Damaged
0.052966089,Damaged
0.053670806,Damaged
0.054379409,Damaged
0.055090051,Damaged
0.055801894,Damaged
0.05651512,Damaged
0.057230935,Damaged
0.057951184,Damaged
0.058677153,Damaged
0.059409971,Damaged
0.060150128,Damaged
0.060897442,Damaged
0.061651064,Damaged
0.062410094,Damaged
0.06317485,Damaged
0.063942778,Damaged
0.06471215,Damaged
0.065482543,Damaged
0.066254835,Damaged
0.067031198,Damaged
0.067813017,Damaged
0.068598513,Damaged
0.069386437,Damaged
0.070176427,Damaged
0.070969005,Damaged
0.071765578,Damaged
0.072568215,Damaged
0.073377208,Damaged
0.074191519,Damaged
